symbol,name,yahoo_symbol
RVX,CBOE RUSSELL 2000 VOLATILITY IN
RWG,Russell Top 200 Growth
RWI,Russell Top 200 Index
RWV,Russell Top 200 Value
RXH,AMEX M S Healthcare Providr Index
RXP,AMEX M S Healthcare Products Index
RXS,Phlx Drug Ndx
S1FI,S&P 100 Stocks Above 50-Day Average
S1OF,S&P 100 Stocks Above 150-Day Average
S1OH,S&P 100 Stocks Above 100-Day Average
S1TH,S&P 100 Stocks Above 200-Day Average
S1TR,S&P 500 Automobiles & Components [TR]
S1TW,S&P 100 Stocks Above 20-Day Average
S2TR,S&P 500 Banks [TR]
S3TR,S&P 500 Capital Goods [TR]
S4FI,S&P 400 Stocks Above 50-Day Average
S4OF,S&P 400 Stocks Above 150-Day Average
S4OH,S&P 400 Stocks Above 100-Day Average
S4TH,S&P 400 Stocks Above 200-Day Average
S4TR,S&P 500 -Commercial & Professional Services [TR]
S4TW,S&P 400 Stocks Above 20-Day Average
S5FI,S&P 500 Stocks Above 50-Day Average
S5NT,S&P Custom/Primasia Semi50 Index [TWD] [TR]
S5OF,S&P 500 Stocks Above 150-Day Average
S5OH,S&P 500 Stocks Above 100-Day Average
S5TH,S&P 500 Stocks Above 200-Day Average
S5TR,S&P 500 Consumer Durables & Apparel [TR]
S5TW,S&P 500 Stocks Above 20-Day Average
