close,net_change,date
11659.8979871,43.97,2008-08-15 00:00:00.0
11479.390094,-180.51,2008-08-18 00:00:00.0
11348.548333,-130.84,2008-08-19 00:00:00.0
11417.4295588,68.88,2008-08-20 00:00:00.0
11430.2124813,12.78,2008-08-21 00:00:00.0
11628.0628106,197.85,2008-08-22 00:00:00.0
11386.2457415,-241.82,2008-08-25 00:00:00.0
11412.870045,26.62,2008-08-26 00:00:00.0
11502.5133424,89.64,2008-08-27 00:00:00.0
11715.1820914,212.67,2008-08-28 00:00:00.0
11543.5489662,-171.63,2008-08-29 00:00:00.0
11516.9246627,-26.62,2008-09-02 00:00:00.0
11532.8829608,15.96,2008-09-03 00:00:00.0
11188.2325724,-344.65,2008-09-04 00:00:00.0
11220.9633676,32.73,2008-09-05 00:00:00.0
11510.7367512,289.77,2008-09-08 00:00:00.0
11230.7337542,-280.00,2008-09-09 00:00:00.0
11268.919682,38.19,2008-09-10 00:00:00.0
11433.7135365,164.79,2008-09-11 00:00:00.0
11421.9890726,-11.72,2008-09-12 00:00:00.0
10917.5114428,-504.48,2008-09-15 00:00:00.0
11059.0192092,141.51,2008-09-16 00:00:00.0
10609.662844,-449.36,2008-09-17 00:00:00.0
11019.693403,410.03,2008-09-18 00:00:00.0
11388.4440785,368.75,2008-09-19 00:00:00.0
11015.6922221,-372.75,2008-09-22 00:00:00.0
10854.1664362,-161.53,2008-09-23 00:00:00.0
10825.1746284,-28.99,2008-09-24 00:00:00.0
11022.064048,196.89,2008-09-25 00:00:00.0
11143.1287397,121.06,2008-09-26 00:00:00.0
10365.4473915,-777.68,2008-09-29 00:00:00.0
10850.661932,485.21,2008-09-30 00:00:00.0
10831.0685674,-19.59,2008-10-01 00:00:00.0
10482.8482833,-348.22,2008-10-02 00:00:00.0
10325.3845363,-157.46,2008-10-03 00:00:00.0
9955.50004421,-369.88,2008-10-06 00:00:00.0
9447.10798713,-508.39,2008-10-07 00:00:00.0
9258.10370209,-189.00,2008-10-08 00:00:00.0
8579.18565501,-678.92,2008-10-09 00:00:00.0
8451.19160272,-127.99,2008-10-10 00:00:00.0
9387.61106302,936.42,2008-10-13 00:00:00.0
9310.98985686,-76.62,2008-10-14 00:00:00.0
8577.91128983,-733.08,2008-10-15 00:00:00.0
8979.25667219,401.35,2008-10-16 00:00:00.0
8852.21839379,-127.04,2008-10-17 00:00:00.0
9265.43130184,413.21,2008-10-20 00:00:00.0
9033.65613561,-231.78,2008-10-21 00:00:00.0
8519.21084395,-514.45,2008-10-22 00:00:00.0
8691.2501426,172.04,2008-10-23 00:00:00.0
8378.95102686,-312.30,2008-10-24 00:00:00.0
8175.76942924,-203.18,2008-10-27 00:00:00.0
9065.11702587,889.35,2008-10-28 00:00:00.0
8990.96490224,-74.15,2008-10-29 00:00:00.0
9180.68601769,189.72,2008-10-30 00:00:00.0
9325.00787378,144.32,2008-10-31 00:00:00.0
9319.83076526,-5.18,2008-11-03 00:00:00.0
9625.28016819,305.45,2008-11-04 00:00:00.0
9139.2691495,-486.01,2008-11-05 00:00:00.0
8695.79006854,-443.48,2008-11-06 00:00:00.0
8943.81339076,248.02,2008-11-07 00:00:00.0
